# MoMo RefID glossary v2026-05-18 (2827 unique refids)
# Source: materials/MoMo RefID update 18 May 26.xlsx (team Product, updated mỗi đợt release)
# Format: name<TAB>refid, sorted ASC by refid
# Lookup patterns (see Rule 1.8 in guardrail):
#   Validate exists:  awk -F"	" -v r="<refid>" '$2==r{ok=1;exit} END{exit !ok}' refid-glossary.tsv
#   Get name:         awk -F"	" -v r="<refid>" '$2==r{print $1}' refid-glossary.tsv
#   Search by name:   grep -i "<keyword>" refid-glossary.tsv
name	refid
Tạo nhóm	create_room_with_contacts
Trả góp Flik	credit_bnpl
Trả góp Flik	credit_bnpl_bill_info
Thanh toán trả góp FLik	credit_bnpl_contract_detail
Trả góp Flik	credit_bnpl_contracts
Trả góp Flik	credit_bnpl_eligible
Thanh toán trả góp Flik	credit_bnpl_rp_flik_collection
Thẻ tín dụng - Thông tin thẻ	credit_card_card_info
Thẻ tín dụng - Trạng thái thẻ	credit_card_card_status
Credit Card Config	credit_card_config
Mở thẻ tín dụng	credit_card_home
Kết quả trả góp	credit_card_installment_status
Thẻ tín dụng - Danh sách thẻ đề xuất	credit_card_list_card_offer
Đăng ký thẻ tín dụng	credit_card_register
Mở Thẻ Tín Dụng Bản Việt	credit_card_register_ccm_bvb
Mở Thẻ Tín Dụng TPBank	credit_card_register_ccm_tpb
Mở Thẻ Tín Dụng VCB	credit_card_register_ccm_vcb
Mở Thẻ Tín Dụng VIB	credit_card_register_ccm_vib
Thẻ tín dụng NH Bản Việt	credit_collection_bvb
Chi tiết thẻ	credit_collection_detail_screen
Chi tiết thẻ	credit_collection_detail_screen_common
Thẻ tín dụng FE Credit	credit_collection_fecredit
Thẻ tín dụng Galaxy DT	credit_collection_galaxy
Thẻ tín dụng HD Saison	credit_collection_hdss
Thẻ tín dụng Home Credit	credit_collection_homecredit
Thẻ tín dụng JACCS	credit_collection_jaccs
Thẻ tín dụng LOTTE Finance	credit_collection_lotte
Thẻ tín dụng Mirae Asset	credit_collection_mafc
Thẻ tín dụng Mcredit	credit_collection_mcredit
Thẻ tín dụng SHBFinance	credit_collection_shb
Thẻ tín dụng Shinhan Finance	credit_collection_svfc
Thẻ tín dụng NH TPBank	credit_collection_tpb
Thẻ tín dụng NH VCB	credit_collection_vcb
Thẻ tín dụng NH VIB	credit_collection_vib
Thẻ tín dụng VietCredit	credit_collection_vietcredit
Trả Góp Sản Phẩm Apple	credit_newton
Thanh toán Trả Góp Apple	credit_newton_collection
Chi tiết sản phẩm	credit_newton_installment_detail
Trả Góp Sản Phẩm Apple - T&C	credit_newton_tc
Thanh toán Ví Trả Sau	credit_paylater_collection_tpfico
Ví Trả Sau Config	credit_paylater_config
Ví Trả Sau	credit_paylater_new
Ví Trả Sau Thông tin chung	credit_paylater_new_common_information
Ví Trả Sau	credit_paylater_new_config
Ví Trả Sau Quản Lý Trả Góp	credit_paylater_new_installment_management
Ví Trả Sau	credit_paylater_new_invoice_list
Ví Trả Sau	credit_paylater_new_promotion
Ví Trả Sau cài đặt	credit_paylater_new_setting
Ví Trả Sau	credit_paylater_new_to_momo
Ví Trả Sau Lịch sử Giao Dịch	credit_paylater_new_trans_history
Ví Trả Sau	credit_paylater_new_user_information
Ví Trả Sau	credit_paylater_verse_quick_activation
Biên lai thẻ tín dụng	credit_payment_receipt
Kiểm tra Điểm tín dụng CIC	credit_score
Tài Chính Du Ký	crossy
Giải cứu nông sản	crowdfunding3
Nước Sài Gòn - Huyện Củ Chi	cuchi_water
Giới thiệu dịch vụ	customize_benefit_list
Cornerstone	cvs_cornerstone
Chứng Chỉ Quỹ CVS	cvs_fund
Mua chứng chỉ quỹ	cvs_fund_buying_fund
Chi tiết quỹ	cvs_fund_fund_detail
Thông tin nhà đầu tư	cvs_fund_investment_info
Danh sách quỹ	cvs_fund_list_all
Quỹ của tôi	cvs_fund_my_funds
Chi tiết lệnh	cvs_fund_order_detail
Thanh toán an toàn Widget	cvs_fund_payment
Quà của tôi	cvs_history_quiz_screen
CVS TechDay 2025	cvstechday2025
Chung cư Cyhome	cyhome_apartment
Tiền lời mỗi ngày	daily_interest_gp_type
Nước Đắk Lắk	daklak2_water
Nước Đắk Lắk	daklak_water
Bệnh viện Da Liễu	dalieu_web_payment
Bệnh viện Đà Nẵng	danang_hospital
Môi trường Đô Thị Đà Nẵng	danang_mtdt
Học phí Thanh Nhật	danang_school_fee
Nước sạch Đan Phượng	danphuong_water
Nước sạch Dân Tiến	dantien_water
Data Privacy Center	data_privacy_center
Đấu Trường Thông Thái	dau_truong_thong_thai_fund
Debug Tool	debug_tool
Quản lý phân quyền	decentralization_account_merchant_template
DeepLink Bill Payment	deeplink_bill_payment
Cornerstone Config	demo_cornerstone_appx
MoMo tích điểm thành viên	demo_nestle_fair
Chi tiết SIM du lịch	detailSimTravelCenter
Chi tiết lì xì (người gửi) p2p	detail_lixi_sender
Chi tiết SIM	detailesim
Chi tiết SIM du lịch	detailgohub
dev tool	dev_tool
Devtool Webapp	devtool_webapp
Tình thương cho em	dgmc_baongld01
Tiếp sức đến trường	dgmc_baotuoitre01
“Triệu trái tim - Một ý chí”	dgmc_bdt01
Bếp Sẻ Chia	dgmc_bsc09
Góp vắcxin COVID-19	dgmc_btt04
Tuổi trẻ NHTW tri ân các AHLS	dgmc_doannhtw
Em yêu Sơn Trà	dgmc_greenviet04
Chung tay giúp đỡ Người khuyết tật	dgmc_hbtqn03
Chung tay trao tặng “Tủ sách yêu thương”	dgmc_hcs12
Lan tỏa lòng nhân ái dịp lễ Phật Đản 2021: Bữa cơm no ấm cho trẻ em vùng cao	dgmc_hpg01
Vu Lan Báo Hiếu	dgmc_hpg02
Ủng hộ Vaccine COVID	dgmc_htv01_sdk
Cùng góp sức ủng hộ hôn nhân cùng giới	dgmc_isee01
Học bổng tặng 2 em học sinh	dgmc_panh01
Học bổng Đường Đến Tri Thức	dgmc_tdan01
Thư Viện Ước Mơ	dgmc_thuvienuocmo20
Thắp nến tri ân các anh hùng, liệt sỹ	dgmc_twdoan01
Bệnh viện Đại học Y Dược TP.HCM	dhyd_hospital
Bệnh viện Đại Học Y Dược TP.HCM	dhyd_web_payment
Nước Điện Biên	dienbien_water
Nước Diễn Châu	dienchau_water
Thanh toán hạn mức cao	direct_debit_register
Thổ địa MoMo	discovery_oa_list
Chi tiết quà tặng	discovery_voucher_detail
Đăng ký sớm	dks_lx26
Đấu Trường Tri Thức	dks_sc25
Vỗ béo MoMo - Tích đơn đổi Combo	dls_stamp_07
Vỗ béo MoMo - Tích đơn đổi Combo	dls_tem_07
Nước DNP – Bắc Giang	dnpbacgiang_water
Quỹ Be Better	donation_bebetter
Phát Tâm Công Đức	donation_butta
Cornerstone	donation_cornerstone
Xây Tết Hồng	donation_dbp_ota
Giving Lunch	donation_givinglunch
Như chưa hề có cuộc chia ly	donation_nchcl
Như chưa hề có cuộc chia ly	donation_subcribe_nchcccl
Tri ân ngày thương binh liệt sỹ	donation_tbls
Đồng hành giáo dục cùng Thảo Đàn	donation_td
Cùng báo Tuổi Trẻ cứu trợ bà con “rốn lũ” miền Trung	donation_tuoi_tre_mien_trung
Cứu trợ 10.000 áo phao và đèn pin cho đồng bào Miền Trung	donation_tuoi_tre_mien_trung_ao_phao
Cùng Báo Tuổi Trẻ tiếp sức học sinh, giáo viên vùng lũ	donation_tuoi_tre_tiep_suc_hsgv
Sửa lại những căn nhà tan hoang sau bão lũ	donation_vcc_dong_bao_mien_trung
Chi viện KHẨN CẤP cho các tỉnh tâm lũ	donation_vcc_mien_trung
Xây trường cho em 2024	donation_xaytruong2024
Quyên góp	donationspm_os08_web
Tạp hoá heo đất	donationspm_tnf33
Quyên góp	donationspm_tnf33_web
Nhà bia khu di tích	donationspm_tnqg31
Công Ty CP Cấp Nước Đồng Nai (DOWACO)	dongnai_water
Nước Đồng Tháp	dongthapwater
Nước Đồng Tiến Thành	dongtienthanh_water
Đừng bấm	dont_click
Tiếng Anh thông minh DoYoSe	doyose
DTMM Widget Home	dtmm_widget_home
Học phí DTSoft	dtsoft_school_fee
Điện lực Duy Tân	duytan_electric
Nước sạch Duy Tiên	duytien_water
Trợ lý dịch vụ công	dvc_assistant
Nộp BHXH & BHYT	dvc_bhxh_bhyt
Đóng BHXH tự nguyện & Gia hạn BHYT	dvc_bhxh_bhyt_new
Trạng thái hồ sơ	dvc_list_application
Trạng thái giao dịch	dvc_progress_bar
Tra cứu phạt nguội	dvc_tra_cuu_phat_nguoi
Nộp phạt giao thông	dvc_tra_cuu_va_nop_phat_vi_pham_giao_thong
Sim Điện Tử Gohub	eSimTravel
Hoá đơn điện tử	e_receipt
Eatforlife	eatforlife
Chung cư Test	ecom_market
Biên bản thu hồi	econtract_soundbox_retrieval
Chỉnh sửa tên gợi nhớ	edit_alias_name
Hướng dẫn User	educate_user
Thanh toán học phí	educenter
Config widget Educenter	educenter_config_widget
Edu Link Việt Nam	edulink_school
EKYC	ekyc
Common Config	ekyc_activation_common_config
ekyc ato full	ekyc_ato_full_module
ekyc ato	ekyc_ato_module
EKYC BANK LINK OCR - [NOTIFICATION]	ekyc_bank_link_ocr
EKYC CONFIGURATION	ekyc_configuration
EKYC CONFIRM INFORMATION	ekyc_confirm_information
Xác nhận thông tin xác thực	ekyc_confirm_passport
Cornerstone	ekyc_cornerstone
EKYC CREATE ACCOUNT - [NOTIFICATION]	ekyc_create_account
EKYC CREATE FACE - [NOTIFICATION]	ekyc_create_face
Xác thực tài khoản	ekyc_drop_survey
EKYC IDENTITY - [NOTIFICATION]	ekyc_identify
Xác thực tài khoản	ekyc_identify_face
EKYC IDENTITY OCR - [NOTIFICATION]	ekyc_identify_ocr
